book_id,book_price,book_name,book_pub,book_comments
13203498,69.00,Python数据分析数据结构大数据excel函数数据治理数据挖掘excel数据分析数据可视化数据荒岛求生,中国水利水电出版社,"容易理解 ，有活动练习，是本实用性很强的书，很喜欢，趁活动多买了几本，多学多练，长知识#*#包装完好。内容讲的很详细。#*#这本书写的很简单，把抽象的编程知识解释得通俗易懂，这需要很高的理论和实战水平。#*#发货很快，第2天便收到了，书是彩色的，印刷质量很好，通俗易懂，有一点点油墨味，放在外面通风吹一下。#*#曹教授又出新书了。该书图文并茂，特别以视频形式讲解书本内容，更易读懂，轻松入门。#*#物流速度很快，头天下单，第二天早上到达，包装完好。书包装很好，无破损。工具书很好，值得拥有。赶上搞活动，一起卖了几十本。送给奋斗的自己。包装精美，性价比高，好书。#*#一般吧，讲的还算凑过#*#曹教授的书质量能够得到保证，难度系数稳步提升，对于初学者非常友好，给好评！！！#*#一本Python实现的算法实例书，资源较多吧。算法写的也很详细，通过这本书可以学到Python的知识，也学到了算法，比较完美，比较值了。#*#活动购入，价格实惠。
说句实在的，这些书都太基础了，很多重复的内容，随便看看入个门还可以，如果想要更深入的学习，国内的环境很难找到合数的书籍，期待国内更多的学者能出更多的优质书籍，让广大读者更容易获取更多深入的知识。"
11993134,109.80,Python编程 从入门到实践 第2版（图灵出品）,人民邮电出版社,"看图书销量榜，买来的书，准备自学编程，听说python很适合入门者，便买了这本书，感觉还是不错的，京东快递是用箱子装过来的，图书没有一点损坏，很不错，这次的满减活动，价格划算，值得购买！！#*#很好的python入门书籍，非常适合初学者，买回来给初中的小朋友用的，讲解比较详细，还有一本小的习题册，每一章节安排了一些小练习，巩固所学知识！值得购买，推荐！#*#孩子要买的,印刷的质量很好,说教程不错,关键是正版可以放心学,不像盗版,书中可能有错误.在京东上购买放心,好东西值得购买.#*#准备学python，选了好久终于选了这本书，拿到手没有失望，封面和纸张都很好，内容详细，适合初学者，尤其还有后面的例题，可以学以致用，值得购买#*#这本python 写的特别好，通俗易懂，很喜欢，我是个门外汉，但是都能够看懂，而且也很喜欢学，能够帮助我提高工作效率，已经推荐给朋友#*#强烈推荐这边，内容简单，关键排版舒服，思路清晰，各种逻辑清晰，非常好。不像我现在看的什么深入浅出pandas，纯粹是坑#*#拿来当学习python字典太合适了，很多周边的老师和朋友推荐，对于基础知识介绍的很详尽，也不难懂，语言组织和描述能力很强，能让我用最短的时间回顾自己遗忘的知识，推荐！#*#想学python，看了好久，最终选了这本书。拿到手后非常喜欢，封面和纸张都很好，内容详细，感觉适合初学者，尤其还有后面的例题，得以学以致用。除了运输过程中四角有点皱，其他都很完好，趁活动价入手，值得购买。#*#书本不错，内容充实，但有一定的&ldquo;过期&rdquo;内容，而且在Python3上存在些错误。#*#学习python，这本书是不可多得的好书，至少对我来说是很好，这本书虽然看起来很厚，但是内容由浅入深，简单易懂，对于刚入门自学的人来说很友好，有理论有实例有练习，还有视频教程，有利于知识点的掌握，很科学，另外，书的质量很好，没有印刷错误，应该是正版。"
12842874,267.80,Python编程三剑客新版：Python编程从入门到实践第2版+快速上手第2版+极客编程（套装3册）,人民邮电出版社,"看图书销量榜，买来的书，准备自学编程，听说python很适合入门者，便买了这本书，感觉还是不错的，京东快递是用箱子装过来的，图书没有一点损坏，很不错，这次的满减活动，价格划算，值得购买！！#*#很好的python入门书籍，非常适合初学者，买回来给初中的小朋友用的，讲解比较详细，还有一本小的习题册，每一章节安排了一些小练习，巩固所学知识！值得购买，推荐！#*#孩子要买的,印刷的质量很好,说教程不错,关键是正版可以放心学,不像盗版,书中可能有错误.在京东上购买放心,好东西值得购买.#*#准备学python，选了好久终于选了这本书，拿到手没有失望，封面和纸张都很好，内容详细，适合初学者，尤其还有后面的例题，可以学以致用，值得购买#*#这本python 写的特别好，通俗易懂，很喜欢，我是个门外汉，但是都能够看懂，而且也很喜欢学，能够帮助我提高工作效率，已经推荐给朋友#*#强烈推荐这边，内容简单，关键排版舒服，思路清晰，各种逻辑清晰，非常好。不像我现在看的什么深入浅出pandas，纯粹是坑#*#拿来当学习python字典太合适了，很多周边的老师和朋友推荐，对于基础知识介绍的很详尽，也不难懂，语言组织和描述能力很强，能让我用最短的时间回顾自己遗忘的知识，推荐！#*#想学python，看了好久，最终选了这本书。拿到手后非常喜欢，封面和纸张都很好，内容详细，感觉适合初学者，尤其还有后面的例题，得以学以致用。除了运输过程中四角有点皱，其他都很完好，趁活动价入手，值得购买。#*#书本不错，内容充实，但有一定的&ldquo;过期&rdquo;内容，而且在Python3上存在些错误。#*#学习python，这本书是不可多得的好书，至少对我来说是很好，这本书虽然看起来很厚，但是内容由浅入深，简单易懂，对于刚入门自学的人来说很友好，有理论有实例有练习，还有视频教程，有利于知识点的掌握，很科学，另外，书的质量很好，没有印刷错误，应该是正版。"
12452929,109.50,Python学习手册（套装上下册）（原书第5版）,机械工业出版社自营官方旗舰店,"书本包装没有任何损伤，纸张质量也特别好，应该是正版书籍，内容丰富，实例非常实用，我试过很多例子，都是没有问题的，代码的备注解析也很详细，非常适合初学者#*#这一次趁活动给部门的同事和孩子买了几大千的书籍，整体买下来价格很实惠，性价比很高，下单后物流很快，快递小哥哥服务态度好，书本印刷质量好，同事和孩子都喜欢满意，可放心购买，强烈推荐推荐，爆赞????????#*#希望马上用起来 提升自己，包装非常好
内容入门适合#*#书本质量非常好，内容也贴合需求，满意，近期正在进修学习相关内容，选择了比较多的相关材料，本书的内容还是非常非常简明扼要，讲解清晰，即使不是本专业人员，也可以很好了解相关内容，并能很好掌握，总体来说，是非常推荐的#*#书厚实，内容祥实，是一本不错的学习python 的好书.，适合有一定基础的人，或者有其他编辑语言的小伙伴的学习，譬如VB  C语言，好好的学习，弄懂弄透才能更好的掌握这么语言，才能用起来更加的顺手，祝大家一起努力！#*#东西太好了，早就想买了，价格确实很优惠，东西质量不错，很喜欢，京东会员还是很不错的，很多东西都有优惠，希望能多一些图书的优惠券，喜欢看书的人！同时也希望京东自营的商品更多一些，白条卷也多放些，作为京东会员，体验感还是很不错的！#*#纸质非常白，看一会就累了，看着非常不舒服，以前纸质是淡黄色的，非常适合阅读#*#买了差不多2000多块钱书，非常好无破损，保鲜膜也没有拆，从外观看都没有问题，物流也非常快，送货小哥服务态度非常好，没有电梯，还送货上门，自古以来书中自有颜如玉，书中自有黄金屋。希望通过读书多学习，改变自己未来。#*#看了两章，有内容没校准好。#*#这是一个好评模板，东西非常好，推荐大家购买。"
13527222,104.80,Python3网络爬虫开发实战 第2版（图灵出品）,人民邮电出版社,"看图书销量榜，买来的书，准备自学编程，听说python很适合入门者，便买了这本书，感觉还是不错的，京东快递是用箱子装过来的，图书没有一点损坏，很不错，这次的满减活动，价格划算，值得购买！！#*#很好的python入门书籍，非常适合初学者，买回来给初中的小朋友用的，讲解比较详细，还有一本小的习题册，每一章节安排了一些小练习，巩固所学知识！值得购买，推荐！#*#孩子要买的,印刷的质量很好,说教程不错,关键是正版可以放心学,不像盗版,书中可能有错误.在京东上购买放心,好东西值得购买.#*#准备学python，选了好久终于选了这本书，拿到手没有失望，封面和纸张都很好，内容详细，适合初学者，尤其还有后面的例题，可以学以致用，值得购买#*#这本python 写的特别好，通俗易懂，很喜欢，我是个门外汉，但是都能够看懂，而且也很喜欢学，能够帮助我提高工作效率，已经推荐给朋友#*#强烈推荐这边，内容简单，关键排版舒服，思路清晰，各种逻辑清晰，非常好。不像我现在看的什么深入浅出pandas，纯粹是坑#*#拿来当学习python字典太合适了，很多周边的老师和朋友推荐，对于基础知识介绍的很详尽，也不难懂，语言组织和描述能力很强，能让我用最短的时间回顾自己遗忘的知识，推荐！#*#想学python，看了好久，最终选了这本书。拿到手后非常喜欢，封面和纸张都很好，内容详细，感觉适合初学者，尤其还有后面的例题，得以学以致用。除了运输过程中四角有点皱，其他都很完好，趁活动价入手，值得购买。#*#书本不错，内容充实，但有一定的&ldquo;过期&rdquo;内容，而且在Python3上存在些错误。#*#学习python，这本书是不可多得的好书，至少对我来说是很好，这本书虽然看起来很厚，但是内容由浅入深，简单易懂，对于刚入门自学的人来说很友好，有理论有实例有练习，还有视频教程，有利于知识点的掌握，很科学，另外，书的质量很好，没有印刷错误，应该是正版。"
13284890,76.60,Python从入门到精通（第2版）,京东图书官方自营书店,"书是正版带塑封，印刷精美，书里章节编排合理，内容丰富，有文字，有图片，有实例对照讲解，书内容对项目研究很有帮助。物流也比较快。#*#书很不错，内容很全面，也是最新的JDK来讲解的，可以帮助到需要来学习JAVA的小同学，不赖，辅助来入门，里面有视频，有练习题#*#活到老学到老，作为一个开发人员，必须不停学习，保持思维，保障能力。Java从入门到精通，虽然基础，但是经典，用来学习，用来参考，都非常好。纸质好，印刷清晰。#*#京东购物就是方便物流棒棒哒！这次618活动下单购买书籍质量很好#*#纸张好，印刷清晰，包装完好，服务态度好，发货快。还有电子版资料。C++学习经典书籍，老师推荐，自学首选。温习，查资料，很方便！书读百遍，其义自见。作为一个计算机专业的，常备书籍！#*#关于计算机图形学的四本书全购买了。讲解的非常细致，适合自学，参考书等。很不错。#*#很好的购买平台，质量不错，特别是有品牌的，值得信赖以前一直都是在实体店买，这次选择了网上买，不光是正品，价格还实惠！材质结实，手感好，很得劲，物流也快，性价比很高，值得购买#*#书的内容可以#*#书的内容整体上中规中矩吧 主要关注深度学习算法在对推荐系统中的一些主要应用 例如 deepfm wide&amp;deep ncf 等 适合对这个领域新入门 需要快速了解相关算法应用的同学 书200多页 篇幅有限 深度不会很足 看完以后能对深度学习在推荐系统的应用有个系统性理解足矣
书包装不错 京东物流也很快 整体满意 继续支持京东 为消费者带来更多实惠?#*#宝贝心仪很久了，趁活动时候买真的太划算了，喜欢的不要犹豫啊店家发货非常快，服务态度很好，应该是正品，一次很愉快的购物整体来说还是很不错的，店家服务态度很好，而且质量也很好，没有异味"
12752623,261.40,Python爬虫数据分析黄金组合（京东套装共3册）,明日科技京东自营旗舰店,该用户觉得商品不错#*#很不错，很满意，物流也很快#*#书刚到，还要继续看看才知道#*#很好很好很好很好很好好好好好#*#比较基础的书，看起来还可以，简单入门#*#多快好省，京东给力，下次还是要选择京东商城，没错，非常满意#*#包装完好，物流快捷。#*#书本很好，帮助很大，多读书，增进知识。#*#Python网络爬虫从入门到实践（Python3 全彩版）自动化数据采集，入门知识，项目实践，海量资源，技术答疑#*#书还是不错的，简单易懂
13123121,89.80,Excel+Python 飞速搞定数据分析与处理（图灵出品）,人民邮电出版社,看起来不错，希望看了有收获#*#没有什么详细的例程串联讲解，只能作为进阶用法学习的工具书，适合作为有相当水平的人进阶之用。#*#有点贵，但。书是不错的。#*#本来打算先学的，搁置了#*#世界读书日，屯好书，好读书#*#世界读书日就该屯好书啊~#*#读书节来了，屯书读好书~#*#味道挺大，不是太厚，家人工作不需要买的，希望可以提升工作效率#*#京东，你要死死远点，别在北京污染空气。#*#怎么说呢客服一般般甚至有点差，售前真就是售前什么都不管，转售后没有只能你自己去找，而且我找的也是京东的客服还不是他们自己的售后，也就是等于京东代我申请售后。真就是只拿那点售前工资就只干售前那一点点活。书还行，但是建议有点基础看这样不累
13625598,89.00,青少年学Python编程从入门到精通：视频案例版 中小学青少年编程儿童少儿编程 零基础学Python（全彩图解+高清视频）,京东图书官方自营书店,办公一本通，需要用到的办公技能基本全都有，实用超值，彩色的质量就是好。#*#满意，图文清晰，内容丰富，excel数据应用很全，彩色书很棒。#*#这本书太棒了，超级实用，质量没得说，趁活动时买的，非常划算。#*#这本书非常好，带着10岁的儿子一起学，儿子挺感兴趣的，也很开心，有视频配套学习不枯燥，值得推荐。#*#办公软件学习工具书，内容很全，有案例分析和视频讲解，很实用，棒棒哒。#*#一翻开书字迹清楚，印刷清晰，好多配图字很小都一清二楚。双拦排内容翻倍，真是超值！好多小提示小技巧太实用了，一读便掌握了一项技能！目录打开一个实战应用一个技巧速查，跟手边字典一样，哪里不会看哪里，都是独立知识点，快捷方便实用！跟着视频做分分钟掌握，这么简单易懂的书必须好评！随便读一段就能感受到我所说的。还有那么多额外附赠，点赞！#*#一翻开书就被各种色彩所吸引，对于繁琐工作的岗位真心会瞬间解压，会让心情都美好起来。印刷清晰，书里内容更是步骤详尽，操作讲解配操作图，图里面还相应标记了文中的序号，一步一图轻松易学。思维导图也是非常细致，把重点都提取出来，方便归纳和掌握要点。还有同步视频扫码，还赠送了那么多常用的电子书、模板和视频！真心好评！我还加了读者群，有问题随时在线交流，一杯奶茶钱就可以让我提高工作质量，用心推荐给大家，跟着做一定会事半功倍#*#给孩子买的，一个个示例加上案例，全是干货。跟着一步步操作真能掌握！还有视频加在线交流，让孩子可以轻松学习。我们培训班老师看到也觉得很不错，推荐孩子跟着学，做完实际操作孩子会有很大成就感?#*#给孩子买的，从基础知识到示例再到最后的案例，一步步教你轻松掌握Python，同步还配有视频教学，是一本非常好的自学教材，不仅适合青少年，成年人也很感兴趣，值得推荐。#*#素材包完全没有 太坑了
13131482,89.00,Python编程快速上手 让繁琐工作自动化 第2版(异步图书出品）,人民邮电出版社,"看图书销量榜，买来的书，准备自学编程，听说python很适合入门者，便买了这本书，感觉还是不错的，京东快递是用箱子装过来的，图书没有一点损坏，很不错，这次的满减活动，价格划算，值得购买！！#*#很好的python入门书籍，非常适合初学者，买回来给初中的小朋友用的，讲解比较详细，还有一本小的习题册，每一章节安排了一些小练习，巩固所学知识！值得购买，推荐！#*#孩子要买的,印刷的质量很好,说教程不错,关键是正版可以放心学,不像盗版,书中可能有错误.在京东上购买放心,好东西值得购买.#*#准备学python，选了好久终于选了这本书，拿到手没有失望，封面和纸张都很好，内容详细，适合初学者，尤其还有后面的例题，可以学以致用，值得购买#*#这本python 写的特别好，通俗易懂，很喜欢，我是个门外汉，但是都能够看懂，而且也很喜欢学，能够帮助我提高工作效率，已经推荐给朋友#*#强烈推荐这边，内容简单，关键排版舒服，思路清晰，各种逻辑清晰，非常好。不像我现在看的什么深入浅出pandas，纯粹是坑#*#拿来当学习python字典太合适了，很多周边的老师和朋友推荐，对于基础知识介绍的很详尽，也不难懂，语言组织和描述能力很强，能让我用最短的时间回顾自己遗忘的知识，推荐！#*#想学python，看了好久，最终选了这本书。拿到手后非常喜欢，封面和纸张都很好，内容详细，感觉适合初学者，尤其还有后面的例题，得以学以致用。除了运输过程中四角有点皱，其他都很完好，趁活动价入手，值得购买。#*#书本不错，内容充实，但有一定的&ldquo;过期&rdquo;内容，而且在Python3上存在些错误。#*#学习python，这本书是不可多得的好书，至少对我来说是很好，这本书虽然看起来很厚，但是内容由浅入深，简单易懂，对于刚入门自学的人来说很友好，有理论有实例有练习，还有视频教程，有利于知识点的掌握，很科学，另外，书的质量很好，没有印刷错误，应该是正版。"
12186192,104.20,流畅的Python(图灵出品),人民邮电出版社,"非常好，经典书籍的最新版，还得慢慢研究，纸张非常好，质量杠杠滴，不是一般的书籍能够与之相提并论的，发货速度快，服务态度好，超赞！Python进阶首选，感受必备，棒棒棒！#*#各种推荐，经典书籍。对编程风格和习惯有很好的引导作用。#*#618活动买的，价格不错，非常好质量，等到以后有活动的时候再找机会有回购#*#网上看到评价说这本书很给力，不过不大适合初学者，先买着，以后再看吧！#*#很大一本，600页整，恐怖，质量很好，内容很多#*#还可以吧#*#看知乎推荐的，书有点贵，还没仔细看。
图解的书，很不错，讲解很详细。#*#看着舒服,眼睛不累，慢慢学了，有空看看!睡前读物，或许哪天能用上!1、质量非常好，与卖家描述的完全一致,非常满意，真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。2、收到货，第一时间拆包装，感觉质量还是比较好的，与卖家描述的还是一致的，非常满意，发货速度比较快，物流 公司服务态度很好，运送速度很快，总的来说这次是很满意的一次购物，感谢卖家。3、宝贝收到了，卖家发货很快,物流也非常给力,客服服务态度极好，很有耐心、给人一种亲切感，好喜欢。还有包装精美，#*#一直以来都在京东购买大大小小的东西物品，京东上挑选和下单非常的方便，其次价格保护这方面做得非常好，以往买了看到价格波动，有时有些遗憾，现在买东西不用犹豫也不用担心，买完七天内有价格波动的，可以申请价格保护，售后电话接通方便，处理效率及时，让人很省心，在价格优惠上也有很多活动和优惠券，针对PULS会员的每月100优惠券加上京东反馈回来，真的可以省很大的一笔钱。不论是生活用品还是零食日用品食物等，京东在品质上做到了绝对放心可靠，京东自营不仅仅是品牌，更是正品高质量的保证和标识！网购首选京东，我信赖我放心！！！#*#这次618在京东上买了挺多的，叔叔的质量都挺不错的，发货速度也还挺好的，整体来说还是挺让人满意的，反正就是挺开心很喜欢的书，是充盈的感觉说包装的也挺好，发货还算是可以的吧，我在最近店里就买了很多的书，然后还在飞机里面买了很多科技类的书，主要和拍摄相关，还有很多其他的，反正我就想多写点评价都已经到啦，书很快就收到了，但是这三本书还是有点贵啊，。 我总共买了20多本书，整体来说还是特别高兴 我们实验室的和老师出钱给我买了挺多的说，反正就是挺好的，我需要卖家生意越来越兴隆，越来越好，希望你们生意兴隆红火，就这样吧，写不了更多的话了，真的想多带点金豆，谢谢你了，帮我评个优。 其实每当我看到书是聪明的感觉，心里真的特别的高兴"
12398725,59.50,利用Python进行数据分析（原书第2版）,机械工业出版社自营官方旗舰店,学起来，每种语言都有不同风格，收货很多#*#嗯，这本书送货非常及时，这本书呢，包括的内容主要是关于在PYTHON下操作、处理、清洗、规整数据集的，完整的一本分析数据的图书，这本书的第2版，针对PYTHON3.6版进行了更新，并且增加了很多的实际案例展示如何高效的解决一系列数据分析问题，在阅读中这本书是非常好的一本数据分析方面的图书，也是目前在国际上，现代化数据密集型计算库的重要组成部分。#*#东西太好了，早就想买了，价格确实很优惠，东西质量不错，很喜欢，京东会员还是很不错的，很多东西都有优惠，希望能多一些图书的优惠券，喜欢看书的人！同时也希望京东自营的商品更多一些，白条卷也多放些，作为京东会员，体验感还是很不错的！#*#python是一款很好的高级语言，希望可以读到它的读者可以学习很多数据分析与这款语言的实际应用。#*#买了十几本书，速度很快，物流很快，打开看看，书的包装很好，都有塑料膜封装，正版无疑，虽然价格不便宜，但是一定支持正版，十几本不是自己看的，自己也看不了，是好多人一-起买的，因为时间关系，也没赶，上活动，感谢京东#*#书的质量很好，内容也可以，做实验要用，希望能给我帮助#*#书收到了，很不错，现在python很火！！希望继续提高自己的计算机python能力。确实印刷得很清晰，而且纸质摸着很舒服，还是要继续努力啊！！！#*#这是一个好评模板，东西非常好，推荐大家购买。#*#书是正版的，物流很快，点赞！#*#送货速度很快，当天就能送达，实效性很高，书的包装也很好有气囊袋包装着，书外面也套一层膜起到了保护作用，内容也不错适合初学者。
34608882177,36.80,Python从入门到精通 清华大学出版社 Python零基础自学书籍 python编程从入门到实践,墨马图书旗舰店,纸张、印刷都很不错，确实是教材。配有讲解视频，自行下载。很不错！！#*#字迹清晰 视频简洁明快 很好的一本书#*#买来当参考书用，内容很丰富#*#是新书，印刷质量很好。#*#纸质清晰，内容完美#*#很好呀，买书买对了#*#这个书非常好，字迹很清晰。还是大牌子。活动入手了好几箱。京东买东西价格实惠，质量有保障。快递也给力！！！！吃完下次再买，太划算了，比超市便宜太多了！#*#买这个自学之前我是有看过好几家店，最后看到这家店的评价不错就决定在这家店买 拆开包装后惊艳到我了，这就是我想要的自学!大大的好评!以后买自学再来你们店！(￣▽￣)#*#书很不错，适合入门者使用，内容很全面，各种方面都涉及到了，慢慢学习，可以学习一阵子了，性价比蛮高的，想学习Python的可以购买试试，还不错的。#*#Python初学者很适合，推荐。
12821118,69.10,Python青少年趣味编程8-15岁 中小学青少年编程儿童入门到实践 零基础学python儿童电脑编程教材（彩印+微课视频讲解）,智博尚书京东自营旗舰店,"小孩前几天学校试上了几节启蒙课，他非常喜欢，也非常感兴趣，所以我才买了这套书，自己也跟着一起学习下，和孩子一起成长。#*#东西很快就到了，质量很不错，应该是正版的。京东的物流也特别好，赞一个#*#孩子喜欢编程，对电脑感兴趣。
买来几本时下流行的编程科普读物。
还好，孩子很喜欢，读起来津津有味儿。
京东购物真是方便快捷，下单第二天到货。
以后可以跟孩子一起学习讨论，陪伴也是一种经历和学历。
总体好评。#*#发货速度特别快，内容适合，是一本好教参#*#书是正版的 没有异味 内页都是彩页 给孩子买的 还没开始看 等到周末看看有没有时间研究。发货速度快，头天晚上下单第二天一早就送到了。而且碰上图书类有满减活动，实际到手差不多半价 很划算#*#快递很快，包装还好，有塑封表面无压痕
纸的手感还行印刷清晰；书籍今天收到了，感觉特别不错，打开看了之后，没有空白页和褶皱之类的问题，包装也是完好的，快递速度很快。
这本书的内容非常不错，儿子非常喜欢。书里有很多的图表，还有彩图，非常的好看，适合初学者。对于小朋友学习Python的非常有用。今天刚收到孩子已经已经迫不及待的开始读起来了。希望能有所收获。#*#还可以，感觉书的质量一般般#*#全彩页的书。印刷质量很好，内容丰富。有基础知识，有案例，还能有***可以看。适合对变成感兴趣的小朋友看。值得推荐#*#孩子学的不亦乐乎！很好的一本书！#*#适合小学生中高年级及初中早期孩子学习入门，和国内好像是清,华出的Mixly差不多一样，可以让孩子接触到计算机编程基本逻辑概念，玩中带学。书质量非常好，活动价格很好！"
13218048,51.00,Python自动化办公从入门到精通——让Excel、Word、PPT飞起来,中国水利水电出版社,"书很不错，很实用#*#书的质量不错，很优惠～#*#很不错的工具书，可以日常办公使用。#*#真的很好啊，质量也挺不错的，服务非常到位，物流也很快#*#性价比很高，学习比较容易。。。#*#书本很好，帮助很大，多读书，增进知识。#*#书中小问题很多，对初学者来说适合挑战#*#书本印刷质量很好，快递也很方便。#*#一直以来，都在京东购买书籍
特别好的东西#*#还可以，内容很有用"
