,0,1,2,3,4,5,6,7,8,9
2013-02-28,贵州茅台,广汇能源,宝钢股份,中国石油,紫金矿业,大秦铁路,山东黄金,工商银行,中国联通,中金黄金
2010-12-31,工商银行,贵州茅台,中国银行,中国铁建,建设银行,农业银行,国电电力,中国中车,大秦铁路,民生银行
2017-08-31,工商银行,农业银行,同方股份,中国重工,中国神华,*ST信威(退市),中国石化,上汽集团,光大银行,中国银行
2018-05-31,山东黄金,万华化学,ST康美,中国中铁,光大银行,中国交建,交通银行,江苏银行,中国银行,兴业银行
2014-03-31,中国石油,工商银行,农业银行,大秦铁路,交通银行,紫金矿业,伊利股份,招商银行,光大银行,金地集团
2013-07-31,中国重工,ST康美,工商银行,中国石油,贵州茅台,山东黄金,农业银行,伊利股份,宝钢股份,中国联通
2018-12-28,山东黄金,中国银行,交通银行,上汽集团,中国石油,民生银行,北京银行,大秦铁路,农业银行,工商银行
2019-06-28,中国石油,交通银行,工商银行,农业银行,民生银行,中国石化,中国银行,光大银行,浦发银行,中国神华
2012-01-31,工商银行,农业银行,中国石油,长江电力,交通银行,大秦铁路,光大银行,宝钢股份,兴业银行,民生银行
2020-09-30,中国石化,农业银行,工商银行,京沪高铁,中国银行,中国石油,交通银行,民生银行,邮储银行,中国联通
2011-06-30,工商银行,中国石油,中国银行,贵州茅台,交通银行,农业银行,建设银行,中国中铁,招商银行,中国石化
2016-07-29,中国太保,招商银行,兴业银行,工商银行,民生银行,浦发银行,农业银行,中国平安,交通银行,北京银行
2016-10-31,上海电气,民生银行,中国石油,北京银行,兴业银行,工商银行,农业银行,伊利股份,国电电力,ST康美
2015-09-30,工商银行,贵州茅台,招商银行,民生银行,农业银行,中国银行,浦发银行,中国石油,兴业银行,北京银行
2015-07-31,工商银行,中国银行,中信银行,民生银行,农业银行,招商银行,贵州茅台,中国石油,浦发银行,中国人寿
2020-02-28,山东黄金,农业银行,中国银行,复星医药,工商银行,恒瑞医药,中国石化,贵州茅台,交通银行,招商银行
2012-06-29,长江电力,大秦铁路,工商银行,交通银行,农业银行,山东黄金,中国石油,光大银行,中国石化,宝钢股份
2016-12-30,山东黄金,民生银行,工商银行,浦发银行,航发动力,北京银行,中国太保,农业银行,兴业银行,中国银行
2011-08-31,山东黄金,中金黄金,贵州茅台,建设银行,紫金矿业,农业银行,工商银行,中国石油,长江电力,中国石化
2012-11-30,宝钢股份,农业银行,长江电力,工商银行,中国石油,民生银行,光大银行,大秦铁路,贵州茅台,中国重工
2020-07-31,药明康德,农业银行,恒瑞医药,工商银行,中国石化,复星医药,交通银行,中国银行,山东黄金,民生银行
2012-03-30,农业银行,工商银行,中国石油,长江电力,宝钢股份,大秦铁路,贵州茅台,中国石化,交通银行,光大银行
2019-01-31,山东黄金,中国银行,农业银行,大秦铁路,中国石油,交通银行,民生银行,工商银行,上海银行,北京银行
2018-07-31,中国中铁,山东黄金,上汽集团,中国石化,交通银行,中国银行,光大银行,北京银行,兴业银行,大秦铁路
2014-01-30,中国石油,伊利股份,方正证券,中国石化,工商银行,紫金矿业,中金黄金,农业银行,包钢股份,山东黄金
2013-09-30,中国重工,伊利股份,工商银行,大秦铁路,中国石油,ST康美,中国联通,方正证券,中国石化,宝钢股份
2018-02-28,万华化学,ST康美,中国电建,中国核电,浦发银行,上汽集团,东方证券,大秦铁路,交通银行,北京银行
2017-06-30,中国联通,*ST信威(退市),中国神华,农业银行,ST康美,同方股份,方正证券,新华保险,工商银行,大秦铁路
2013-05-31,山东黄金,贵州茅台,中国石油,宝钢股份,紫金矿业,工商银行,中金黄金,伊利股份,中国神华,大秦铁路
2014-08-29,东方明珠,东方明珠(退市),包钢股份,山东黄金,金地集团,大秦铁路,中国石油,贵州茅台,复星医药,伊利股份
2019-05-31,山东黄金,中国石油,交通银行,大秦铁路,工商银行,农业银行,民生银行,北京银行,中国银行,浦发银行
2016-01-29,工商银行,农业银行,浦发银行,兴业银行,贵州茅台,招商银行,中国银行,民生银行,中国平安,中国石油
2020-03-31,中国石化,农业银行,中国银行,工商银行,复星医药,交通银行,民生银行,中国石油,恒瑞医药,建设银行
2016-08-31,北京银行,兴业银行,农业银行,招商银行,中国太保,交通银行,中国石油,民生银行,工商银行,中信银行
2015-11-30,工商银行,民生银行,招商银行,农业银行,浦发银行,中国银行,交通银行,北京银行,华夏银行,光大银行
2012-02-29,农业银行,中国石油,工商银行,长江电力,大秦铁路,中国石化,宝钢股份,光大银行,交通银行,兴业银行
2011-12-30,工商银行,农业银行,长江电力,建设银行,中国石油,贵州茅台,交通银行,大秦铁路,光大银行,宝钢股份
2019-09-30,工商银行,中国中免,农业银行,光大银行,中国银行,洛阳钼业,上海银行,建设银行,交通银行,中国石化
2015-03-31,白云山,三安光电,ST康美,复星医药,中航电子,东方明珠,贵州茅台,国电南瑞,东方明珠(退市),广汇能源
2020-11-30,邮储银行,京沪高铁,农业银行,中国银行,中国石化,中国石油,交通银行,工商银行,民生银行,中国建筑
2012-07-31,农业银行,工商银行,长江电力,交通银行,光大银行,中国石油,中国建筑,大秦铁路,宝钢股份,招商银行
2013-01-31,贵州茅台,宝钢股份,中国石油,大秦铁路,农业银行,工商银行,中国联通,紫金矿业,山东黄金,中煤能源
2020-01-23,山东黄金,中国石化,中国重工,中国石油,中国银行,农业银行,建设银行,交通银行,上海机场,中国中免
2018-03-30,万华化学,ST康美,中国电建,山东黄金,上汽集团,浦发银行,大秦铁路,交通银行,中国核电,兴业银行
2018-11-30,山东黄金,中国银行,交通银行,民生银行,光大银行,北京银行,中国重工,上海银行,大秦铁路,浦发银行
2014-09-30,东方明珠,东方明珠(退市),山东黄金,包钢股份,上港集团,中国石油,三安光电,ST康美,贵州茅台,农业银行
2017-10-31,ST康美,保利发展,中国重工,*ST信威(退市),伊利股份,中国石化,新华保险,上汽集团,中国中车,中国石油
2018-06-29,中国中铁,交通银行,兴业银行,中国银行,光大银行,山东黄金,中国建筑,中国交建,上海银行,农业银行
2014-05-30,金地集团,工商银行,中国石油,农业银行,紫金矿业,中国中车,大秦铁路,交通银行,光大银行,中国联通
2014-07-31,东方明珠,东方明珠(退市),金地集团,中国石油,中国联通,大秦铁路,海南橡胶,中国石化,山东黄金,贵州茅台
2017-09-29,中国重工,*ST信威(退市),上汽集团,ST康美,同方股份,农业银行,大秦铁路,工商银行,贵州茅台,中国核电
2018-01-31,万华化学,山东黄金,中国核电,浦发银行,中国电建,ST康美,兴业银行,北京银行,农业银行,交通银行
2014-02-28,伊利股份,中国石油,工商银行,农业银行,紫金矿业,大秦铁路,交通银行,中国石化,中金黄金,招商银行
2013-06-28,山东黄金,贵州茅台,中国重工,宝钢股份,工商银行,农业银行,中国石油,伊利股份,中国神华,大秦铁路
2011-10-31,工商银行,农业银行,中国石油,建设银行,长江电力,贵州茅台,中国石化,山东黄金,中金黄金,光大银行
2011-07-29,贵州茅台,工商银行,中国石油,建设银行,交通银行,中金黄金,农业银行,中国石化,山东黄金,中国神华
2019-07-31,农业银行,工商银行,建设银行,中国银行,交通银行,民生银行,中国石化,中国神华,光大银行,中国石油
2015-01-30,白云山,三安光电,ST康美,伊利股份,东方明珠,中国中车,复星医药,海南橡胶,国电南瑞,贵州茅台
2016-06-30,中国太保,招商银行,北京银行,民生银行,兴业银行,工商银行,中国平安,农业银行,浦发银行,上汽集团
2012-05-31,大秦铁路,农业银行,工商银行,长江电力,交通银行,中国石油,光大银行,贵州茅台,宝钢股份,招商银行
2019-02-28,山东黄金,大秦铁路,中国石油,中国银行,农业银行,中国神华,交通银行,绿地控股,上汽集团,中国石化
2012-09-28,长江电力,农业银行,宝钢股份,工商银行,光大银行,交通银行,北京银行,大秦铁路,中国重工,中国建筑
2020-08-31,恒瑞医药,药明康德,上海机场,中国石化,农业银行,交通银行,工商银行,中国银行,民生银行,中国石油
2016-03-31,民生银行,浦发银行,工商银行,农业银行,贵州茅台,北京银行,兴业银行,招商银行,上汽集团,中国银行
2018-04-27,万华化学,ST康美,山东黄金,交通银行,中国电建,光大银行,北京银行,大秦铁路,中国银行,兴业银行
2015-04-30,中国中车,上港集团,中国北车(退市),复星医药,三安光电,ST康美,北方稀土,东方明珠(退市),东方明珠,中国建筑
2019-10-31,工商银行,中国银行,农业银行,建设银行,中国中免,上海银行,中国石化,交通银行,中国石油,中国神华
2020-04-30,中国石化,中国银行,农业银行,交通银行,工商银行,中国石油,民生银行,建设银行,复星医药,光大银行
2015-08-31,工商银行,中国银行,民生银行,贵州茅台,招商银行,农业银行,中国石油,中信银行,浦发银行,华夏银行
2016-11-30,上海电气,民生银行,伊利股份,浦发银行,航发动力,保利发展,北京银行,农业银行,兴业银行,工商银行
2011-02-28,中国银行,民生银行,工商银行,贵州茅台,长江电力,农业银行,建设银行,交通银行,大秦铁路,中国石油
2012-12-31,宝钢股份,中国石油,农业银行,贵州茅台,大秦铁路,长江电力,工商银行,中国北车(退市),伊利股份,中国中车
2013-11-29,方正证券,工商银行,包钢股份,中金黄金,贵州茅台,中国石油,山东黄金,ST康美,农业银行,紫金矿业
2013-03-29,贵州茅台,紫金矿业,宝钢股份,中国石油,山东黄金,大秦铁路,包钢股份,中金黄金,广汇能源,中国石化
2014-10-31,东方明珠(退市),东方明珠,山东黄金,中国北车(退市),中国中车,上港集团,贵州茅台,工商银行,中国石油,农业银行
2018-08-31,中国中铁,中国石油,北京银行,山东黄金,交通银行,浦发银行,中国石化,上海银行,大秦铁路,民生银行
2017-12-29,山东黄金,中国电建,华夏幸福,交通银行,中国核电,中国石化,北京银行,农业银行,中国中铁,中国交建
2017-05-31,ST康美,*ST信威(退市),工商银行,新华保险,农业银行,中国联通,大秦铁路,贵州茅台,中国银行,伊利股份
2014-12-31,中国北车(退市),中国中车,三安光电,白云山,伊利股份,ST康美,复星医药,海南橡胶,贵州茅台,东方明珠
2017-02-28,山东黄金,海通证券,民生银行,农业银行,工商银行,东方证券,东方明珠,航发动力,北京银行,ST康美
2017-07-31,农业银行,工商银行,交通银行,中国石油,中国神华,中国银行,光大银行,同方股份,中国联通,*ST信威(退市)
2013-08-30,中国重工,工商银行,ST康美,中国石油,农业银行,伊利股份,中国联通,宝钢股份,大秦铁路,贵州茅台
2019-12-31,山东黄金,农业银行,中国银行,万华化学,工商银行,交通银行,建设银行,上海机场,民生银行,中国石化
2016-04-29,浦发银行,工商银行,北京银行,贵州茅台,农业银行,民生银行,招商银行,兴业银行,中国银行,上汽集团
2011-05-31,贵州茅台,中国银行,中国石油,工商银行,农业银行,交通银行,中国建筑,建设银行,中信银行,中国石化
2015-06-30,工商银行,中国中车,浦发银行,农业银行,民生银行,贵州茅台,招商银行,北京银行,中国平安,中国银行
2013-04-26,贵州茅台,山东黄金,宝钢股份,紫金矿业,中国石油,伊利股份,大秦铁路,中金黄金,工商银行,广汇能源
2012-10-31,长江电力,农业银行,宝钢股份,工商银行,光大银行,大秦铁路,中国重工,中国石油,中国建筑,北京银行
2011-09-30,山东黄金,中金黄金,紫金矿业,建设银行,农业银行,工商银行,贵州茅台,中国石油,长江电力,光大银行
2020-06-30,工商银行,山东黄金,交通银行,农业银行,中国银行,中国重工,民生银行,邮储银行,光大银行,浦发银行
2018-10-31,山东黄金,中国银行,上海银行,交通银行,民生银行,北京银行,浦发银行,中国重工,光大银行,大秦铁路
2017-03-31,*ST信威(退市),ST康美,工商银行,贵州茅台,农业银行,航发动力,山东黄金,民生银行,海通证券,东方证券
2014-04-30,金地集团,中国石油,工商银行,农业银行,大秦铁路,紫金矿业,中国中车,交通银行,光大银行,厦门钨业
2015-02-27,白云山,三安光电,ST康美,中航电子,东方明珠,复星医药,国电南瑞,伊利股份,贵州茅台,东方明珠(退市)
2017-11-30,农业银行,交通银行,*ST信威(退市),中国人寿,山东黄金,保利发展,北京银行,中国太保,华夏幸福,ST康美
2013-12-31,方正证券,包钢股份,工商银行,中金黄金,中国石油,农业银行,紫金矿业,贵州茅台,山东黄金,光大银行
2019-08-30,工商银行,农业银行,中国银行,建设银行,光大银行,交通银行,中国石化,中国石油,洛阳钼业,民生银行
2016-09-30,民生银行,ST康美,工商银行,兴业银行,北京银行,中国太保,农业银行,浦发银行,交通银行,国电电力
2019-04-30,山东黄金,恒瑞医药,中国中免,大秦铁路,贵州茅台,中国石油,农业银行,中国石化,中国银行,伊利股份
2020-10-30,京沪高铁,农业银行,中国石化,中国银行,工商银行,交通银行,中国石油,民生银行,邮储银行,中国联通
2011-01-31,中国银行,工商银行,民生银行,贵州茅台,农业银行,交通银行,长江电力,大秦铁路,中信银行,招商银行
2016-05-31,招商银行,北京银行,民生银行,兴业银行,农业银行,工商银行,中国太保,贵州茅台,华夏银行,浦发银行
2015-10-30,工商银行,贵州茅台,民生银行,招商银行,中国银行,浦发银行,农业银行,中国石油,北京银行,华夏银行
2011-04-29,贵州茅台,上汽集团,农业银行,建设银行,中国银行,工商银行,中国石油,中信银行,长江电力,交通银行
2017-01-26,民生银行,浦发银行,工商银行,北京银行,农业银行,海通证券,ST康美,中国银行,兴业银行,中国太保
2012-08-31,农业银行,工商银行,长江电力,交通银行,光大银行,中国建筑,招商银行,北京银行,民生银行,中国石油
2011-11-30,工商银行,农业银行,建设银行,中国石油,贵州茅台,长江电力,光大银行,中国石化,交通银行,宝钢股份
2015-12-31,工商银行,ST康美,招商银行,农业银行,贵州茅台,浦发银行,中国银行,民生银行,国电电力,北京银行
2015-05-29,中国中车,复星医药,民生银行,三安光电,白云山,北京银行,广汇能源,交通银行,农业银行,工商银行
2019-03-29,山东黄金,大秦铁路,中国石油,恒瑞医药,农业银行,中国银行,海螺水泥,中国石化,上汽集团,中国中免
2016-02-29,工商银行,浦发银行,农业银行,兴业银行,民生银行,中国银行,贵州茅台,北京银行,招商银行,中国平安
2020-05-29,交通银行,中国银行,农业银行,工商银行,民生银行,光大银行,建设银行,中国重工,恒瑞医药,中国石油
2019-11-29,中国银行,农业银行,中国石化,中国神华,建设银行,工商银行,上海银行,中国石油,民生银行,交通银行
2011-03-31,中国银行,贵州茅台,农业银行,中国石油,长江电力,工商银行,民生银行,中国联通,上汽集团,建设银行
2014-06-30,金地集团,中国石油,工商银行,农业银行,华夏银行,交通银行,北京银行,光大银行,招商银行,大秦铁路
2014-11-28,上港集团,中国北车(退市),中国中车,海南橡胶,山东黄金,复星医药,ST康美,贵州茅台,中国石油,国电南瑞
2013-10-31,方正证券,ST康美,大秦铁路,中金黄金,山东黄金,工商银行,贵州茅台,中国石油,紫金矿业,中国重工
2017-04-28,*ST信威(退市),ST康美,工商银行,伊利股份,新华保险,贵州茅台,中国联通,海通证券,农业银行,山东黄金
2012-04-27,农业银行,包钢股份,工商银行,大秦铁路,长江电力,交通银行,贵州茅台,中国石油,招商银行,宝钢股份
2018-09-28,中国中铁,中国石油,大秦铁路,上海银行,交通银行,中国银行,北京银行,浦发银行,光大银行,民生银行
